ID|CourseName|Instructor|Credit|Pre-requisite|Reference
VR202|Introduction to Philosophy||3|Sophomore or above, or instructor’s permission|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=258
VV214|Linear Algebra||4|none|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=281
VY200|Academic Writing II||4|Vy 100 Academic Writing I|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=288
VZ200|Comprehensive Chinese II||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=291
VE300|Technical Communication for Electrical and Computer Engineering||1|Vg 100|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=386
VK330|Thermodynamics of Materials||4|Vc 209/210, Vp 140, Vv 215/255/285, and Vk 250|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=395
VM305|Introduction to Finite Elements in Mechanical Engineering||3|Vm 211|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=400
VP390|Modern Physics||3|Vv 256/286 and Vp 240/260|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=223
VR318|Modern PhysicsScience Fiction||3|Vy 100/Vy 200|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=409
VX351|Advanced Branding and Brand Management||2|Branding and Brand Management|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=420
VY322|Literary Translation||3|Vy 100/200|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=421
VE401|Probabilistic Methods in Engineering||4|Vv 156/255/256 or Vv 186/285/286|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=422
VG496|Professional Ethics||2|Vg100, Junior or Senior standing|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=454
VK480|Materials and Engineering Design||3|Senior standing|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=455
VM412|Advanced Strength of Materials||3|Vm 311|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=457
VR440|Chinese Legal History||4||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=474
VV417|Linear Algebra||4|Vv216/256/286|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=475
VX401|Entrepreneurship||1|None|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=478
VE501|Probability and Random Processes||4|Ve 401 Probabilistic Methods in Engineering or graduate standing|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=292
VG500|Technical Communication||3|permission of instructor|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=339
VM505|Finite Element Methods||3|Vm211 Introduction to Solid Mechanics and Vm311 Strength of Materials|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=340
VV556|Methods of Applied Mathematics I||3|Vv256 Applied Calculus IV, or Vv286 Honors Mathematics IV, or consent of instructor.|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=489
VE650|Coding Theory||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=293
VM641|Advanced Methods of Vibration Analysis||3|Vm 541 Mechanical Vibrations and Vm 543 Analytical and Computational Dynamics|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=498
VG101|Introduction to Computers and Programming|Manuel Charlemagne|4|None|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=74
VP141|Physics Lab I||1|Vp140 or Vp160|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=222
VR124|Fashion, Fiction and Feminism||3|Vy 100|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=227
VV116|Calculus II||4|Vv115|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=231
VZ104|Introduction to Chinese Language||2||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=236
VC210|Chemistry||4|3 years high school math, high school chemistry|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=238
VE215|Introduction to Circuits||4|Vv 156 or Vv 186 , Vg 101, accompanied or preceded by Vp240 (or Vp260)|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=242
VK250|Principles of Engineering Materials||4|Vc 210|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=249
VM235|Thermodynamics I||3|Vc 210 and Vv 156 or Vv 186|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=252
VP241|Physics Lab II|||Vp140 or Vp160|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=256
VR203|Food in Modern East Asian History||4|Vy 100|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=259
VV215|Calculus III||4|Vv116|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=282
VY223|Creative Writing||4|Vy 100 or Vy 200|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=289
VE311|Electronic Circuits||4|Ve 216|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=387
VK335|Kinetics and Transitions in Material Engineering||4|Vv 216/256/286, Vk 250, and Vk 330|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=396
VM311|Strength of Materials||3|Vm 211 and Vv 256 or Vv 286|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=401
VR320|American Short Fiction||4|4 credits|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=410
VE406|Applied Regression Analysis using R||4|Ve 401|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=423
VK489|Materials Processing Design||3|Vk 330 and Vk 335|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=456
VM418|Mechanics of Composite and Microstructured Media||3|Vm 382|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=458
VV454|Boundary Value Problems for Partial Differential Equations|||Vv255 and Vv256; or Vv285 and Vv286; or permission of instructor|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=476
VX402|Managing a Business||2|None|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=479
VE504|Solid State Physics||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=294
VM506|Selected Topics in Nanotechnology||3|None for grad students- Completion of Fundamental Math and Science courses|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=341
VV557|Methods of Applied Mathematics II||3|Vv256 Applied Calculus IV, Vv286 Honors Mathematics IV, or consent of instructor|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=490
VE655|Wireless Communication Theory||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=492
VM643|Flexible Multibody Dynamics||3|Vm 543 Analytical and Computational Dynamics|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=499
VP160|Honors Physics I||N|Calculus I or equivalent training from high school|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=225
VR140|Comparative Government and Politics||4|Sophomore or above, or instructor’s permission|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=228
VV156|Applied Calculus II|Olga Danilkina|4|having passed math placement test|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=232
VC211|Chemistry Lab||4|Vc210|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=239
VE216|Introduction to Signals and Systems||4|Ve 215 and preceded or accompanied by Vv 256 or Vv 286|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=243
VM240|Introduction to Dynamics and Vibrations||4|Vp 140 or Vp 160, preceded or accompanied by Vv256 or Vv286.|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=253
VP260|Honors Physics II||N|Vp 160|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=257
VR204|Modern Asia – Colonialism, Anti-colonialism, and State Formation||4|None|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=260
VV216|Calculus IV||4|Vv215|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=283
VY240|Introduction to Poetry||3|Vy 100|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=290
VE312|Digital Integrated Circuits||4|Ve 216|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=388
VK350|Principles of Engineering Materials II||4|Vk 250|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=397
VM320|Fluid Mechanics I||3|Vm 235 and Vm 240 and Vv 256 or Vv 286|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=402
VR334|Performance Technology||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=411
VE411|Microwave Circuits I||4|Ve 311 or Ve 330|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=424
VM421|Thermal-Fluids Systems Design||3|Vm235, Vm320, Vm335|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=459
VV471|Introduction to Numerical Methods|||Vg101; and Vv256 or Vv286|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=477
VX420|Business Basics for Entrepreneurs||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=480
VE506|Selected Topics in Nanotechnology||3|None for grad students- Completion of Fundamental Math and Science courses|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=295
VM508|Introduction to Soft Matter Physics||3|None|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=342
VV570|Introduction to Engineering Numerical Analysis||3|Vv216, Vv216256, Vv216286, Vv216214|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=491
VE662|Advanced Topics in Controls||3|Ve562 Nonlinear System and Control|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=493
VM645|Wave Propagation in Elastic Solids||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=500
VR160|Introduction to World Politics||4|Sophomore or above|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=229
VV186|Honors Mathematics II|Horst Harold Hohberger|4|having passed math placement test|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=233
VC230|Honors Chemistry||4|3 years high school math, strong background in high school chemistry|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=240
VE230|Electromagnetics I||4|Ve 215 , Vp 240 or Vp 260 , Vv 255 or Vv 285|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=244
VM250|Design and Manufacturing I||4|Vv 156 or Vv 186 , Vg 101 , and Vm 020 or Vm 010|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=254
VR205|American Ways: US Culture||4||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=261
VV255|Applied Calculus III||4|Vv156, Vv186 or permission of instructor|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=284
VE320|Introduction to Semiconductor Devices||4|Ve 215 , Vp 240 or Vp 260|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=389
VK360|Materials Lab I||3|accompanied or preceded by Vk 350|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=398
VM335|Heat Transfer||c|Vm 320|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=403
