ID|CourseName|Instructor|Credit|Pre-requisite|Reference
VM699|Special topics in thermal and fluid science||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=504
VR222|Great Books in World Literature||4||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=265
VE370|Introduction to Computer Organization||4|Ve 270 and Ve280|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=393
VM384|Engineering Project Management||3|Senior Standing|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=407
VR364|Literature and the Environment||3|None|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=416
VE427|VLSI Design I||4|Ve 270 , Ve 312 and Ve 320|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=429
VM450|Design and Manufacturing III||4|Vm 350, Vm 360 and Vm 395 . May not be taken concurrently with Vm495 or instructor’s permission.|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=464
VE515|Electrical, Optical and Magnetic Properties of Materials||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=300
VM513|Continuum Mechanics|||Solid mechanics, Fluid Mechanics, Heat Transfer, Thermodynamics, Linear algebra|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=347
VR223|Arabian Nights in British Literature||4|Vy 100|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=266
VE373|Design of Microprocessor Based Systems||4|Ve 270 and Ve 370 or instructor’s permission|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=394
VM395|Laboratory I||4|Vp 240 or Vp 260 , Vp 241 , Vm 211 , Vm 235 , and Vm 240 ; preceded or accompanied by Vm 320 and Vm 382|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=408
VR367|Global Enterprise and Sustainable Development||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=417
VE434|Principles of Photonics||4|Ve 230 or Ve 334 or graduate standing|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=430
VM452|Design for Manufacturability||3|Vm 350|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=465
VE517|Physical Processes in Plasmas||3|Ve 230 Electromagnetics I and Ve 330 Electromagnetics II|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=301
VM514|Non-Linear Fracture Mechanics||3|Vm311, Vv256|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=348
VR236|Film Art and History||4||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=267
VR369|Politics of International Economic Relations||3|Sophomore or above|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=418
VE438|Advanced Lasers and Optics Laboratory||4|Vp 240|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=431
